n_raters,mean_kappa,sd_kappa,mean_delta,sd_delta,mean_delta_from_final,sd_delta_from_final,true_kappa
27,0.5009653384597139,0.019964966048255955,0.0025440959413228414,0.0019498278194490792,0.009067626114907974,0.006855874335885464,0.5
28,0.5008181669254058,0.019664581908750926,0.0025041518203427907,0.0019162588874389941,0.008719002577651114,0.006615115508451054,0.5
29,0.5008583510409524,0.019531118658937672,0.0024139639907028603,0.0018015751473636698,0.008543288939073171,0.006448754227259652,0.5
30,0.5009429622557998,0.019074689639837123,0.0023830095561379167,0.0017602347391462655,0.008163041983070067,0.00612950550198051,0.5
31,0.5010262407135279,0.018917473998061738,0.0023136074609928564,0.0016926519232245247,0.007862891636721079,0.0059532582625246725,0.5
32,0.5011442379077067,0.01861282642623874,0.0021949405655586405,0.0016451785991583937,0.007365378045959423,0.005581460320422268,0.5
33,0.5012176370885332,0.01838615117479087,0.0021342376418293095,0.001609870300239612,0.007013346898374171,0.005352838921646507,0.5
34,0.501218813755602,0.01827215351458764,0.0020312802807582885,0.0015884205600540848,0.006746875397800934,0.005156987071762584,0.5
35,0.5011975106139561,0.018020077599681227,0.0020196040091426874,0.0015619218861263905,0.006321988938782552,0.00491046743434164,0.5
36,0.5010841070518137,0.01783179141233912,0.0019347802074618258,0.001509256173881696,0.006029387918041971,0.00455738525152203,0.5
37,0.50092986658929,0.017677835146297866,0.0019170154198667113,0.0014272598568586643,0.005653620769985207,0.004333942555701196,0.5
38,0.5009920735692367,0.01752677111755377,0.0017713997978379293,0.0013397209501412116,0.005386207317513841,0.00405508165625376,0.5
39,0.5010285384891888,0.01744370455978679,0.0018048710709630377,0.0013793738217795064,0.00512689917923299,0.0038873722478472554,0.5
40,0.5010403633439383,0.01720872453658427,0.001796303441952036,0.0013403086185717029,0.004785257243523298,0.003652747235895079,0.5
41,0.5010470857443058,0.017060312054892886,0.0016402975323397463,0.0012400296615313728,0.004527763838952497,0.003465270201293933,0.5
42,0.50097653084105,0.016860466215915748,0.0016473672886116648,0.0012507871169684904,0.004281943818031737,0.0031533780672341432,0.5
43,0.5009254047967286,0.016616719801242224,0.0016319289474671969,0.0011488354887910016,0.003981019048249272,0.0029572465174403455,0.5
44,0.5009462199997928,0.016536620719704003,0.0015859315503013011,0.0012175212593601749,0.0036269694798497414,0.002613938755117632,0.5
45,0.5009336420222822,0.01635993445375988,0.0015882518130926064,0.0012076726333493748,0.0032394971946243982,0.0023886545493604296,0.5
46,0.5008890189984755,0.016091280547836394,0.0014741096176065771,0.0011039984497930543,0.0029156909568138598,0.0021594503120897805,0.5
47,0.5009537842054149,0.01592777480021331,0.0014650861339066878,0.0011225298566381675,0.002484546249320699,0.0018143644574882241,0.5
48,0.5009657026428355,0.01590745261699927,0.0014572226834262813,0.001077799536984653,0.001969124119003851,0.0014842067928520092,0.5
49,0.5009319471477083,0.015742915579421722,0.0014417998945630752,0.0010623325559136383,0.0014311386278310024,0.0010519572358019878,0.5
50,0.500938984195402,0.015647999665105883,0.0014311386278310024,0.0010519572358019878,0.0,0.0,0.5
3,0.5948364140030232,0.053575275485604305,,,0.04053221198158538,0.030853673710534896,0.6
4,0.5953681054283384,0.045998556970840675,0.02236717445895209,0.016230312198011368,0.033966046235840625,0.027077271585867355,0.6
5,0.5954052907884153,0.04171615654202507,0.016421302398885135,0.012351411339992385,0.031005720664902127,0.023351452604419,0.6
6,0.5954304106650872,0.037033274102413756,0.013288565763423578,0.01006884836754775,0.026921215959793247,0.020785328791627374,0.6
7,0.594983806659798,0.0338030287558965,0.011565374990753803,0.008912116352498016,0.0240429850052876,0.01795017145883612,0.6
8,0.5947680603231111,0.031077670454862445,0.0095885385602629,0.007363196769301148,0.02166165804601784,0.015964589833211446,0.6
